prod_ai,group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength
tirzepatide,trending,study,ODYNOPHAGIA,4,28237,443,1380603,8.957527458920717,28241,447,1409287,0.4962,0.4961,0.196,1.2557,2.2643,0.1323882400951839,0.18363048160654152,False,0.4484,0.1869,0.9422,-1.0715,-2.4854,0,False,None
tirzepatide,trending,study,OEDEMA,3,28238,3859,1377187,77.39143410816959,28241,3862,1409287,0.0443,0.0442,0.0155,0.1262,72.1902,1.9542180355997807e-17,7.843460142883473e-17,True,0.0395,0.0143,0.0916,-4.476,-6.1086,0,False,None
tirzepatide,trending,study,OEDEMA PERIPHERAL,12,28229,5530,1375516,111.0573091215629,28241,5542,1409287,0.1105,0.1101,0.0632,0.1919,89.6052,2.9076378190390046e-21,1.2972673270062105e-20,True,0.1084,0.066,0.1699,-3.1578,-3.9741,0,False,None
tirzepatide,trending,study,OESOPHAGEAL DISORDER,3,28238,217,1380829,4.408626489849122,28241,220,1409287,0.7869,0.7869,0.2737,2.2624,0.1911,0.6619786179710088,0.7470684479779938,False,0.6802,0.2466,1.5786,-0.488,-2.1205,0,False,None
tirzepatide,trending,study,OESOPHAGEAL RUPTURE,5,28236,48,1380998,1.0620781998272886,28241,53,1409287,5.5454,5.5463,2.296,13.3975,11.3565,0.0007518583265847618,0.0014830048565291837,True,4.3888,2.012,8.5964,1.816,0.5514,3,False,None
tirzepatide,trending,study,OESOPHAGEAL SPASM,3,28238,88,1380958,1.823568229892137,28241,91,1409287,1.9339,1.934,0.6646,5.6286,0.2561,0.6128385372027969,0.701269854440749,False,1.5993,0.5798,3.7116,0.591,-1.0416,0,False,None
tirzepatide,trending,study,OESOPHAGEAL STENOSIS,3,28238,185,1380861,3.76737172768925,28241,188,1409287,0.9227,0.9226,0.3204,2.6566,0.0194,0.8893220842639833,0.9467018434536485,False,0.7933,0.2876,1.8411,-0.286,-1.9186,0,False,None
tirzepatide,trending,study,OESOPHAGITIS,3,28238,638,1380408,12.845134454514943,28241,641,1409287,0.2681,0.268,0.0937,0.7662,6.941,0.00842425382567032,0.014468763848234424,True,0.2366,0.0858,0.549,-1.9309,-3.5635,0,False,None
tirzepatide,trending,study,OFF LABEL USE,2883,25358,104345,1276701,2148.764551152462,28241,107228,1409287,1.3513,1.3913,1.338,1.4467,276.7262,3.8817886380181447e-62,3.1738571181135055e-61,True,1.3417,1.3011,1.3833,0.424,0.3713,2,False,None
tirzepatide,trending,study,OLIGOMENORRHOEA,6,28235,89,1380957,1.903725075162121,28241,95,1409287,3.5514,3.552,1.602,7.8759,6.933,0.008461893918192421,0.01452885781637402,True,3.0367,1.4935,5.6401,1.4352,0.2808,3,False,None
